KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001102001,T001102002,T001102003,T001102004,T001102005,T001102006,T001102007,T001102008,T001102009,T001102010,T001102011,T001102012,T001102013,T001102014,T001102015,T001102016,T001102017,T001102018,T001102019,T001102020,T001102021,T001102022,T001102023,T001102024,T001102025,T001102026,T001102027,T001102028,T001102029,T001102030,T001102031,T001102032,T001102033,T001102034,T001102035,T001102036,T001102037,T001102038,T001102039,T001102040,T001102041,T001102042,T001102043,T001102044,T001102045,T001102046,T001102047,T001102048,T001102049,T001102050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
5240403031,0,,,8,4,4,0,0,0,8,4,4,2,1,1,8,4,4,8,4,4,6,3,3,3,1,2,2,1,1,0,0,0,0,0,0,4,4,1,2,1,0,0,0,0,3,2,1,0,4,0,1,0
5240403033,0,,,15,7,8,3,1,2,12,6,6,6,3,3,11,5,6,11,5,6,6,3,3,4,2,2,2,1,1,0,0,0,0,0,0,5,5,1,2,0,0,2,0,0,4,3,1,1,3,0,0,2
5240403034,0,,,20,10,10,1,0,1,19,10,9,9,6,3,18,9,9,17,8,9,10,4,6,6,3,3,2,0,2,0,0,0,0,0,0,7,7,0,3,2,2,0,0,0,7,5,2,0,5,0,0,1
5240404021,0,,,19,8,11,2,1,1,17,7,10,9,4,5,17,7,10,17,7,10,8,3,5,3,0,3,3,0,3,1,0,1,0,0,0,8,8,2,2,3,1,0,0,0,6,3,3,0,5,0,2,0
5240404023,0,,,114,53,61,6,4,2,108,49,59,47,20,27,107,48,59,106,48,58,61,29,32,27,14,13,7,2,5,0,0,0,0,0,0,47,47,6,27,7,3,3,1,0,41,31,10,1,37,0,5,12
5240404024,0,,,197,92,105,15,8,7,182,84,98,87,48,39,178,82,96,176,80,96,95,36,59,50,18,32,18,5,13,0,0,0,1,0,1,87,87,25,34,18,5,2,2,1,62,48,14,2,68,1,19,14
5240404041,2,5240404042,,4,1,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5240404042,1,,5240404041,40,18,22,1,0,1,43,19,24,18,11,7,42,19,23,41,18,23,25,8,17,13,3,10,2,1,1,0,0,0,0,0,0,18,18,8,7,3,2,1,0,0,12,10,2,0,17,0,5,3
5240404113,0,,,119,56,63,1,0,1,118,56,62,39,20,19,117,56,61,117,56,61,79,36,43,50,22,28,15,8,7,0,0,0,0,0,0,62,62,22,28,9,1,2,0,0,40,34,6,0,57,0,18,11
5240404114,0,,,169,83,86,6,4,2,163,79,84,68,38,30,157,76,81,156,75,81,95,41,54,54,21,33,20,10,10,4,1,3,1,1,0,82,82,30,32,11,5,2,2,0,52,43,9,1,64,0,23,21
5240404131,0,,,21,10,11,3,3,0,18,7,11,11,4,7,17,7,10,17,7,10,7,3,4,5,2,3,3,1,2,0,0,0,0,0,0,9,9,3,2,2,2,0,0,0,6,6,0,1,4,0,1,1
5240404132,0,,,101,48,53,7,4,3,94,44,50,34,18,16,92,43,49,92,43,49,60,26,34,34,15,19,18,9,9,1,0,1,3,1,2,50,50,17,22,7,2,1,1,0,33,24,9,1,38,3,10,14
5240404134,0,,,202,101,101,7,4,3,195,97,98,61,31,30,194,96,98,191,93,98,134,66,68,95,39,56,41,16,25,4,2,2,21,9,12,42,39,12,13,6,2,5,0,1,27,18,9,2,23,4,2,8
5240404141,0,,,33,18,15,0,0,0,33,18,15,15,9,6,33,18,15,32,18,14,18,9,9,9,3,6,5,1,4,0,0,0,0,0,0,16,16,7,4,3,1,1,0,0,9,6,3,0,14,0,6,2
5240404143,0,,,101,44,57,7,5,2,94,39,55,41,18,23,94,39,55,94,39,55,53,21,32,26,8,18,7,1,6,0,0,0,4,0,4,49,49,18,19,6,5,0,0,1,31,26,5,2,35,5,11,13
5240405013,0,,,33,16,17,6,4,2,27,12,15,13,6,7,26,12,14,26,12,14,14,6,8,3,1,2,1,0,1,0,0,0,0,0,0,12,12,0,8,1,1,2,0,0,12,10,2,1,8,0,0,5
5240405031,1,,5240406012;5240406014,21,12,9,0,0,0,27,15,12,13,6,7,27,15,12,27,15,12,14,9,5,5,3,2,4,2,2,1,1,0,0,0,0,8,8,2,7,2,0,1,0,0,10,7,3,0,10,0,1,4
5240405112,1,,5240405114,53,28,25,3,3,0,53,26,27,22,12,10,52,25,27,50,23,27,31,14,17,23,10,13,9,5,4,1,0,1,0,0,0,23,23,7,12,3,0,2,1,0,18,14,4,1,23,0,7,6
5240405114,2,5240405112,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5240405121,1,,5240405122,112,50,62,13,6,7,100,44,56,50,25,25,96,41,55,92,39,53,50,19,31,28,12,16,8,2,6,0,0,0,3,1,2,47,47,16,14,11,2,3,0,2,32,25,7,4,33,0,12,10
5240405122,2,5240405121,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5240405123,1,,5240405131,71,32,39,7,5,2,67,28,39,32,11,21,63,27,36,62,27,35,35,17,18,19,7,12,7,2,5,2,1,1,3,0,3,27,27,4,11,6,5,2,0,0,24,16,8,2,22,0,4,10
5240405124,0,,,48,23,25,3,1,2,45,22,23,21,11,10,43,21,22,42,20,22,24,11,13,14,6,8,6,2,4,0,0,0,1,0,1,19,19,5,6,3,4,0,1,0,14,10,4,0,16,0,4,6
5240405131,2,5240405123,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5240405141,0,,,35,15,20,0,0,0,35,15,20,18,7,11,34,15,19,33,14,19,17,8,9,9,4,5,4,1,3,0,0,0,0,0,0,14,14,3,7,2,0,0,2,0,11,8,3,0,10,0,1,4
5240405142,0,,,87,44,43,6,3,3,81,41,40,49,26,23,76,37,39,74,36,38,32,15,17,18,9,9,5,3,2,0,0,0,1,0,1,34,34,9,12,6,1,4,2,0,25,20,5,2,21,0,4,7
5240405143,2,5240405144,,10,6,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5240405144,1,,5240405143,23,12,11,2,2,0,31,16,15,23,12,11,29,15,14,29,15,14,8,4,4,1,0,1,0,0,0,0,0,0,0,0,0,11,11,3,4,6,1,0,0,0,11,8,3,0,6,0,3,1
5240405231,0,,,15,8,7,0,0,0,15,8,7,4,2,2,15,8,7,15,8,7,11,6,5,9,4,5,1,0,1,0,0,0,0,0,0,9,9,4,4,1,0,0,0,0,5,5,0,0,8,0,3,3
5240405233,0,,,11,5,6,0,0,0,11,5,6,2,1,1,11,5,6,11,5,6,9,4,5,2,1,1,0,0,0,0,0,0,0,0,0,6,6,2,3,1,0,0,0,0,4,3,1,0,6,0,2,3
